date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:03	178/178	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Jul%202021%2019:26:02%20GMT	https://preview.wolfthemes.live/robots.txt		(from )
00:56:05	266301/266301	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2004:54:03%20GMT	https://preview.wolfthemes.live/milu/	E:/Projects/Ujja%20TOS/ujja%20India/preview.wolfthemes.live/milu/index.html	(from )
00:56:05	57305/57305	---MCZ	200	added ('OK')	text/css	etag:W/%2260ba41f3-dfd9%22	https://preview.wolfthemes.live/app/plugins/instagram-feed-pro/css/sbi-styles.min.css	E:/Projects/Ujja%20TOS/ujja%20India/preview.wolfthemes.live/app/plugins/instagram-feed-pro/css/sbi-styles.min.css	(from https://preview.wolfthemes.live/milu/)
00:56:06	58171/58171	---MCZ	200	added ('OK')	text/css	etag:W/%22609c6975-e33b%22	https://preview.wolfthemes.live/milu/wp-includes/css/dist/block-library/style.min.css	E:/Projects/Ujja%20TOS/ujja%20India/preview.wolfthemes.live/milu/wp-includes/css/dist/block-library/style.min.css	(from https://preview.wolfthemes.live/milu/)
00:56:06	68360/68360	---M-Z	200	added ('OK')	application/rss+xml	etag:%22963aba73c92ed7c22d965bbd5a46f11d%22	https://preview.wolfthemes.live/milu/feed/	E:/Projects/Ujja%20TOS/ujja%20India/preview.wolfthemes.live/milu/feed/index.html	(from https://preview.wolfthemes.live/milu/)
00:56:06	3276/3276	---MCZ	200	added ('OK')	text/css	etag:W/%22602c5124-ccc%22	https://preview.wolfthemes.live/app/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css	E:/Projects/Ujja%20TOS/ujja%20India/preview.wolfthemes.live/app/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css	(from https://preview.wolfthemes.live/milu/)
00:56:07	178665/178665	---MCZ	200	added ('OK')	text/css	etag:W/%22607ef7d8-2b9e9%22	https://preview.wolfthemes.live/app/plugins/woocommerce/packages/woocommerce-blocks/build/style.css	E:/Projects/Ujja%20TOS/ujja%20India/preview.wolfthemes.live/app/plugins/woocommerce/packages/woocommerce-blocks/build/style.css	(from https://preview.wolfthemes.live/milu/)
00:56:07	2132/2132	---MCZ	200	added ('OK')	text/css	etag:W/%2260c5d8c8-854%22	https://preview.wolfthemes.live/app/cache/autoptimize/28/css/autoptimize_single_76e12144b6be9bc0a17dd880c5566156.css	E:/Projects/Ujja%20TOS/ujja%20India/preview.wolfthemes.live/app/cache/autoptimize/28/css/autoptimize_single_76e12144b6be9bc0a17dd880c5566156.css	(from https://preview.wolfthemes.live/milu/)
00:56:07	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%22609c6975-e688%22	https://preview.wolfthemes.live/milu/wp-includes/css/dashicons.min.css	E:/Projects/Ujja%20TOS/ujja%20India/preview.wolfthemes.live/milu/wp-includes/css/dashicons.min.css	(from https://preview.wolfthemes.live/milu/)
00:56:07	2964/2964	---M-Z	200	added ('OK')	application/rss+xml	etag:%22614efebab02e6723fe75fab6db9bbe61%22	https://preview.wolfthemes.live/milu/comments/feed/	E:/Projects/Ujja%20TOS/ujja%20India/preview.wolfthemes.live/milu/comments/feed/index.html	(from https://preview.wolfthemes.live/milu/)
